FULLGAME_STRATEGY_V1
ITER	12000
INFOSET	FOLD	CHECK	CALL	BET	RAISE	ALL_IN	VISITS
flop|seat=0|bucket=105|tc=1|pot=1|n=2|h=ckkb	0.3010403887	0.0000000000	0.3324154673	0.0000000000	0.2883595937	0.0781845502	14
flop|seat=0|bucket=105|tc=1|pot=1|n=2|h=crcb	0.2244647327	0.0000000000	0.5184232670	0.0000000000	0.2300849732	0.0270270270	37
flop|seat=0|bucket=105|tc=1|pot=1|n=2|h=rcb	0.1766757555	0.0000000000	0.2239393273	0.0000000000	0.5626672082	0.0367177089	33
flop|seat=0|bucket=105|tc=1|pot=1|n=2|h=rckb	0.2848989883	0.0000000000	0.4290652235	0.0000000000	0.2708842730	0.0151515152	33
flop|seat=0|bucket=105|tc=1|pot=2|n=2|h=rcbr	0.2520527951	0.0000000000	0.2883698017	0.0000000000	0.2700048076	0.1895725956	13
flop|seat=0|bucket=105|tc=1|pot=2|n=2|h=rrcb	0.2671329547	0.0000000000	0.4332300334	0.0000000000	0.2829703453	0.0166666667	15
flop|seat=0|bucket=106|tc=0|pot=0|n=2|h=ck	0.0000000000	0.0283098230	0.0000000000	0.8719812674	0.0000000000	0.0997089096	27
flop|seat=0|bucket=106|tc=0|pot=0|n=2|h=ckk	0.0000000000	0.9111111111	0.0000000000	0.0444444444	0.0000000000	0.0444444444	15
flop|seat=0|bucket=106|tc=0|pot=1|n=2|h=crc	0.0000000000	0.9191919192	0.0000000000	0.0404040404	0.0000000000	0.0404040404	33
flop|seat=0|bucket=106|tc=0|pot=1|n=2|h=crck	0.0000000000	0.4953429545	0.0000000000	0.4790160199	0.0000000000	0.0256410256	13
flop|seat=0|bucket=106|tc=0|pot=1|n=2|h=crrc	0.0000000000	0.2614090541	0.0000000000	0.2601403570	0.0000000000	0.4784505890	7
flop|seat=0|bucket=106|tc=0|pot=1|n=2|h=rc	0.0000000000	0.3376682890	0.0000000000	0.4742035178	0.0000000000	0.1881281932	23
flop|seat=0|bucket=106|tc=0|pot=1|n=2|h=rck	0.0000000000	0.3346406731	0.0000000000	0.6261436406	0.0000000000	0.0392156863	17
flop|seat=0|bucket=106|tc=0|pot=1|n=2|h=rrc	0.0000000000	0.9420289855	0.0000000000	0.0289855072	0.0000000000	0.0289855072	23
flop|seat=0|bucket=106|tc=0|pot=1|n=2|h=rrck	0.0000000000	0.4568256108	0.0000000000	0.4356183422	0.0000000000	0.1075560469	11
flop|seat=0|bucket=106|tc=0|pot=2|n=2|h=rrrc	0.0000000000	0.3189036096	0.0000000000	0.3094070962	0.0000000000	0.3716892942	9
